Номер теста;Дисциплина;Лабораторная работа;Параметр варьирования 1;Необходимость сохранения значения параметра 1 для одинакового варианта;Параметр варьирования 2;Необходимость сохранения значения параметра 2 для одинакового варианта
3;Компьютерные сети;3;1;нет;;
6;Компьютерные сети;3;1;да;;
9;Компьютерные сети;3;6;нет;;
12;Компьютерные сети;3;6;да;;
18;Компьютерные сети;6;1;нет;6;нет
24;Компьютерные сети;6;1;да;6;нет
30;Компьютерные сети;6;1;нет;6;да
36;Компьютерные сети;6;1;да;6;да
39;Объектно-ориентированное проектирование и программирование;3;1;нет;;
42;Объектно-ориентированное проектирование и программирование;3;1;да;;
45;Объектно-ориентированное проектирование и программирование;3;4;нет;;
48;Объектно-ориентированное проектирование и программирование;3;4;да;;
54;Объектно-ориентированное проектирование и программирование;6;1;нет;4;нет
60;Объектно-ориентированное проектирование и программирование;6;1;да;4;нет
66;Объектно-ориентированное проектирование и программирование;6;1;нет;4;да
72;Объектно-ориентированное проектирование и программирование;6;1;да;4;да
