Номер теста;Дисциплина;Лабораторная работа;Параметр варьирования 1;Необходимость сохранения значения параметра 1 для одинакового варианта;Параметр варьирования 2;Необходимость сохранения значения параметра 2 для одинакового варианта
37;Объектно-ориентированное проектирование и программирование;1;1;нет;;
38;Объектно-ориентированное проектирование и программирование;2;1;нет;;
39;Объектно-ориентированное проектирование и программирование;3;1;нет;;
40;Объектно-ориентированное проектирование и программирование;1;1;да;;
41;Объектно-ориентированное проектирование и программирование;2;1;да;;
42;Объектно-ориентированное проектирование и программирование;3;1;да;;
43;Объектно-ориентированное проектирование и программирование;1;4;нет;;
44;Объектно-ориентированное проектирование и программирование;2;4;нет;;
45;Объектно-ориентированное проектирование и программирование;3;4;нет;;
46;Объектно-ориентированное проектирование и программирование;1;4;да;;
47;Объектно-ориентированное проектирование и программирование;2;4;да;;
48;Объектно-ориентированное проектирование и программирование;3;4;да;;
