Номер теста;Дисциплина;Лабораторная работа;Параметр варьирования 1;Необходимость сохранения значения параметра 1 для одинакового варианта;Параметр варьирования 2;Необходимость сохранения значения параметра 2 для одинакового варианта
1;Компьютерные сети;1;1;нет;;
2;Компьютерные сети;2;1;нет;;
3;Компьютерные сети;3;1;нет;;
4;Компьютерные сети;1;1;да;;
5;Компьютерные сети;2;1;да;;
6;Компьютерные сети;3;1;да;;
7;Компьютерные сети;1;6;нет;;
8;Компьютерные сети;2;6;нет;;
9;Компьютерные сети;3;6;нет;;
10;Компьютерные сети;1;6;да;;
11;Компьютерные сети;2;6;да;;
12;Компьютерные сети;3;6;да;;
13;Компьютерные сети;1;1;нет;6;нет
14;Компьютерные сети;2;1;нет;6;нет
15;Компьютерные сети;3;1;нет;6;нет
16;Компьютерные сети;4;1;нет;6;нет
17;Компьютерные сети;5;1;нет;6;нет
18;Компьютерные сети;6;1;нет;6;нет
19;Компьютерные сети;1;1;да;6;нет
20;Компьютерные сети;2;1;да;6;нет
21;Компьютерные сети;3;1;да;6;нет
22;Компьютерные сети;4;1;да;6;нет
23;Компьютерные сети;5;1;да;6;нет
24;Компьютерные сети;6;1;да;6;нет
25;Компьютерные сети;1;1;нет;6;да
26;Компьютерные сети;2;1;нет;6;да
27;Компьютерные сети;3;1;нет;6;да
28;Компьютерные сети;4;1;нет;6;да
29;Компьютерные сети;5;1;нет;6;да
30;Компьютерные сети;6;1;нет;6;да
31;Компьютерные сети;1;1;да;6;да
32;Компьютерные сети;2;1;да;6;да
33;Компьютерные сети;3;1;да;6;да
34;Компьютерные сети;4;1;да;6;да
35;Компьютерные сети;5;1;да;6;да
36;Компьютерные сети;6;1;да;6;да
37;Объектно-ориентированное проектирование и программирование;1;1;нет;;
38;Объектно-ориентированное проектирование и программирование;2;1;нет;;
39;Объектно-ориентированное проектирование и программирование;3;1;нет;;
40;Объектно-ориентированное проектирование и программирование;1;1;да;;
41;Объектно-ориентированное проектирование и программирование;2;1;да;;
42;Объектно-ориентированное проектирование и программирование;3;1;да;;
43;Объектно-ориентированное проектирование и программирование;1;4;нет;;
44;Объектно-ориентированное проектирование и программирование;2;4;нет;;
45;Объектно-ориентированное проектирование и программирование;3;4;нет;;
46;Объектно-ориентированное проектирование и программирование;1;4;да;;
47;Объектно-ориентированное проектирование и программирование;2;4;да;;
48;Объектно-ориентированное проектирование и программирование;3;4;да;;
49;Объектно-ориентированное проектирование и программирование;1;1;нет;4;нет
50;Объектно-ориентированное проектирование и программирование;2;1;нет;4;нет
51;Объектно-ориентированное проектирование и программирование;3;1;нет;4;нет
52;Объектно-ориентированное проектирование и программирование;4;1;нет;4;нет
53;Объектно-ориентированное проектирование и программирование;5;1;нет;4;нет
54;Объектно-ориентированное проектирование и программирование;6;1;нет;4;нет
55;Объектно-ориентированное проектирование и программирование;1;1;да;4;нет
56;Объектно-ориентированное проектирование и программирование;2;1;да;4;нет
57;Объектно-ориентированное проектирование и программирование;3;1;да;4;нет
58;Объектно-ориентированное проектирование и программирование;4;1;да;4;нет
59;Объектно-ориентированное проектирование и программирование;5;1;да;4;нет
60;Объектно-ориентированное проектирование и программирование;6;1;да;4;нет
61;Объектно-ориентированное проектирование и программирование;1;1;нет;4;да
62;Объектно-ориентированное проектирование и программирование;2;1;нет;4;да
63;Объектно-ориентированное проектирование и программирование;3;1;нет;4;да
64;Объектно-ориентированное проектирование и программирование;4;1;нет;4;да
65;Объектно-ориентированное проектирование и программирование;5;1;нет;4;да
66;Объектно-ориентированное проектирование и программирование;6;1;нет;4;да
67;Объектно-ориентированное проектирование и программирование;1;1;да;4;да
68;Объектно-ориентированное проектирование и программирование;2;1;да;4;да
69;Объектно-ориентированное проектирование и программирование;3;1;да;4;да
70;Объектно-ориентированное проектирование и программирование;4;1;да;4;да
71;Объектно-ориентированное проектирование и программирование;5;1;да;4;да
72;Объектно-ориентированное проектирование и программирование;6;1;да;4;да
